id,year,week,postseason,id_home_team,id_away_team,points_home,points_away,completed,conference_game
159,1881,7,0,163,108,0.0,0.0,1,0
160,1881,7,0,159,7,0.0,0.0,1,0
161,1881,8,0,171,164,1.0,0.0,1,0
162,1881,8,0,43,163,0.0,0.0,1,0
163,1881,8,0,219,171,0.0,2.0,1,0
164,1882,1,0,43,1000061,9.0,0.0,1,0
165,1882,1,0,108,109,1.0,0.0,1,0
166,1882,2,0,163,1000077,5.0,0.0,1,0
167,1882,2,0,7,113,2.0,0.0,1,0
168,1882,2,0,163,164,5.0,0.0,1,0
169,1882,2,0,108,109,3.0,0.0,1,0
170,1882,2,0,219,1000075,5.0,0.0,1,0
171,1882,3,0,164,1000066,7.0,0.0,1,0
172,1882,3,0,43,164,9.0,0.0,1,0
173,1882,3,0,108,1000069,2.0,0.0,1,0
174,1882,3,0,1000061,113,7.0,0.0,1,0
175,1882,4,0,163,219,9.0,0.0,1,0
176,1882,4,0,113,1000061,0.0,7.0,1,0
177,1882,4,0,164,43,0.0,5.0,1,0
178,1882,4,0,7,108,0.0,1.0,1,0
179,1882,4,0,159,1000069,5.0,0.0,1,0
180,1882,5,0,1000061,7,1.0,0.0,1,0
181,1882,5,0,43,109,6.0,0.0,1,0
182,1882,5,0,219,164,0.0,1.0,1,0
183,1882,5,0,108,159,8.0,0.0,1,0
184,1882,6,0,171,163,0.0,8.0,1,0
185,1882,6,0,1000055,1000066,2.0,0.0,1,0
186,1882,6,0,164,322,8.0,0.0,1,0
187,1882,6,0,7,43,0.0,9.0,1,0
188,1882,6,0,164,171,2.0,0.0,1,0
189,1882,6,0,219,163,0.0,10.0,1,0
190,1882,6,0,108,171,2.0,0.0,1,0
191,1882,7,0,1000078,1000055,1.0,1.0,1,0
192,1882,7,0,164,163,0.0,3.0,1,0
193,1882,7,0,43,171,11.0,0.0,1,0
194,1882,7,0,164,219,1.0,0.0,1,0
195,1882,7,0,108,163,2.0,1.0,1,0
196,1882,8,0,1000055,164,0.0,2.0,1,0
197,1882,8,0,108,43,0.0,1.0,1,0
198,1882,8,0,163,171,3.0,0.0,1,0
199,1882,8,0,219,322,1.0,0.0,1,0
200,1882,9,0,43,163,2.0,1.0,1,0
201,1883,1,0,130,1000079,40.0,5.0,1,0
202,1883,2,0,43,1000061,60.0,0.0,1,0
203,1883,2,0,1000061,43,0.0,94.0,1,0
204,1883,3,0,43,1000055,59.0,0.0,1,0
205,1883,3,0,108,1000061,23.0,1.0,1,0
206,1883,4,0,108,219,4.0,0.0,1,0
207,1883,4,0,1000055,1000080,59.0,0.0,1,0
208,1883,5,0,164,163,0.0,20.0,1,0
209,1883,5,0,219,118,26.0,6.0,1,0
210,1883,5,0,1000055,108,4.0,14.0,1,0
211,1883,5,0,171,1000066,12.0,0.0,1,0
212,1883,5,0,1000061,164,37.0,0.0,1,0
213,1883,5,0,163,322,54.0,7.0,1,0
214,1883,6,0,1000055,163,0.0,14.0,1,0
215,1883,6,0,1000055,171,19.0,0.0,1,0
216,1883,6,0,219,322,44.0,4.0,1,0
217,1883,6,0,108,109,14.0,1.0,1,0
218,1883,6,0,163,164,61.0,0.0,1,0
219,1883,7,0,164,1000066,54.0,2.0,1,0
220,1883,7,0,163,219,39.0,6.0,1,0
221,1883,7,0,1000061,108,6.0,18.0,1,0
222,1883,7,0,322,1000055,4.0,14.0,1,0
223,1883,8,0,108,1000055,11.0,2.0,1,0
224,1883,8,0,43,164,92.0,0.0,1,0
225,1883,8,0,163,1000061,24.0,0.0,1,0
226,1883,8,0,108,2731,39.0,0.0,1,0
227,1883,8,0,322,164,25.0,0.0,1,0
228,1883,8,0,219,118,30.0,0.0,1,0
229,1883,9,0,219,171,35.0,1.0,1,0
230,1883,9,0,1000080,43,0.0,49.0,1,0
231,1883,9,0,163,108,26.0,7.0,1,0
232,1883,9,0,1000061,2731,21.0,0.0,1,0
233,1883,9,0,219,164,18.0,0.0,1,0
234,1883,9,0,171,43,0.0,93.0,1,0
235,1883,9,0,1000055,1000081,60.0,0.0,1,0
236,1883,9,0,1000061,130,14.0,6.0,1,0
237,1883,10,0,43,130,64.0,0.0,1,0
238,1883,10,0,108,130,3.0,0.0,1,0
239,1883,10,0,1000055,322,14.0,11.0,1,0
240,1883,10,0,219,1000082,38.0,7.0,1,0
241,1883,10,0,43,163,6.0,0.0,1,0
242,1883,11,0,1000055,130,5.0,1.0,1,0
243,1883,11,0,43,108,23.0,2.0,1,0
244,1883,11,0,1000055,219,6.0,6.0,1,0
245,1883,11,0,1000083,322,0.0,59.0,1,0
246,1884,1,0,43,1000061,31.0,0.0,1,0
247,1884,2,0,1000055,163,0.0,4.0,1,0
248,1884,2,0,164,163,5.0,23.0,1,0
249,1884,2,0,43,1000055,96.0,0.0,1,0
250,1884,3,0,164,171,35.0,5.0,1,0
251,1884,3,0,163,1000061,22.0,2.0,1,0
252,1884,3,0,163,164,35.0,0.0,1,0
253,1884,3,0,43,1000061,63.0,0.0,1,0
254,1884,3,0,108,109,43.0,5.0,1,0
255,1884,3,0,1000055,1000071,15.0,0.0,1,0
256,1884,4,0,108,219,0.0,4.0,1,0
257,1884,4,0,164,43,10.0,76.0,1,0
258,1884,4,0,322,2329,50.0,0.0,1,0
259,1884,4,0,159,43,0.0,113.0,1,0
260,1884,4,0,219,163,0.0,31.0,1,0
261,1884,4,0,109,108,0.0,42.0,1,0
262,1884,5,0,108,2977,67.0,0.0,1,0
263,1884,5,0,1000055,1000061,0.0,11.0,1,0
264,1884,5,0,163,322,140.0,0.0,1,0
265,1884,5,0,1000061,108,16.0,0.0,1,0
266,1884,5,0,164,2329,61.0,0.0,1,0
267,1884,5,0,163,1000055,58.0,0.0,1,0
268,1884,5,0,219,322,21.0,0.0,1,0
269,1884,6,0,108,2731,23.0,0.0,1,0
270,1884,6,0,43,1000061,46.0,0.0,1,0
271,1884,6,0,1000074,108,6.0,20.0,1,0
272,1884,6,0,164,322,26.0,0.0,1,0
273,1884,6,0,163,118,57.0,0.0,1,0
274,1884,6,0,219,1000055,30.0,0.0,1,0
275,1884,7,0,159,108,0.0,29.0,1,0
276,1884,7,0,2329,322,4.0,34.0,1,0
277,1884,7,0,322,1000055,4.0,18.0,1,0
278,1884,7,0,1000061,164,31.0,0.0,1,0
279,1884,7,0,2329,1000030,12.0,36.0,1,0
280,1884,7,0,219,118,33.0,0.0,1,0
281,1884,7,0,108,112,51.0,0.0,1,0
282,1884,8,0,1000055,1000084,24.0,4.0,1,0
283,1884,8,0,108,163,6.0,36.0,1,0
284,1884,8,0,43,1000085,18.0,0.0,1,0
285,1884,8,0,1000082,219,16.0,16.0,1,0
286,1884,8,0,43,108,52.0,0.0,1,0
287,1884,9,0,1000055,322,52.0,0.0,1,0
288,1884,9,0,43,163,0.0,0.0,1,0
289,1884,9,0,219,1000061,14.0,12.0,1,0
290,1885,1,0,1000055,163,0.0,94.0,1,0
291,1885,2,0,219,1000082,42.0,0.0,1,0
292,1885,2,0,1000055,43,0.0,55.0,1,0
293,1885,2,0,219,2329,54.0,0.0,1,0
294,1885,2,0,1000061,113,80.0,0.0,1,0
295,1885,3,0,219,1000002,68.0,6.0,1,0
296,1885,3,0,43,1000061,18.0,0.0,1,0
297,1885,3,0,163,1000055,76.0,0.0,1,0
298,1885,3,0,219,1000082,6.0,5.0,1,0
299,1885,3,0,1000030,2329,24.0,8.0,1,0
300,1885,4,0,219,163,0.0,57.0,1,0
301,1885,4,0,322,1000055,16.0,12.0,1,0
302,1885,5,0,219,322,54.0,10.0,1,0
303,1885,5,0,43,1000061,71.0,0.0,1,0
304,1885,5,0,163,219,80.0,10.0,1,0
305,1885,5,0,109,43,0.0,51.0,1,0
306,1885,5,0,1000061,2977,60.0,0.0,1,0
307,1885,5,0,322,2329,0.0,0.0,1,0
308,1885,6,0,1000055,1000066,162.0,0.0,1,0
309,1885,6,0,43,1000075,52.0,0.0,1,0
310,1885,6,0,322,219,22.0,30.0,1,0
311,1885,6,0,2329,164,10.0,5.0,1,0
312,1885,6,0,2329,1000055,4.0,20.0,1,0
313,1885,6,0,1000061,219,25.0,18.0,1,0
314,1885,6,0,1000086,163,0.0,64.0,1,0
315,1885,7,0,1000055,322,18.0,23.0,1,0
316,1885,7,0,163,118,10.0,0.0,1,0
317,1885,7,0,1000066,1000055,0.0,86.0,1,0
318,1885,7,0,163,1000061,76.0,0.0,1,0
319,1885,7,0,219,43,5.0,53.0,1,0
320,1885,8,0,219,2329,35.0,0.0,1,0
321,1885,8,0,2329,322,6.0,6.0,1,0
322,1885,8,0,43,163,5.0,6.0,1,0
323,1885,8,0,1000055,219,9.0,23.0,1,0
324,1885,9,0,43,1000061,61.0,0.0,1,0
325,1885,9,0,219,163,10.0,76.0,1,0
