id,year,week,postseason,id_home_team,id_away_team,points_home,points_away,completed,conference_game,home_team_id,home_team_full_name,home_team_school_name,home_team_mascot,away_team_id,away_team_full_name,away_team_school_name,away_team_mascot,home_team_ranking,away_team_ranking
96227,2022,10,0,2075,2339,,,1,1,2075,Bowie State Bulldogs,Bowie State,Bulldogs,2339,Lincoln (PA) Lions,Lincoln (PA),Lions,-1.0,-1.0
96351,2022,10,0,133,2968,,,1,1,133,St. Olaf College Oles,St. Olaf College,Oles,2968,Gustavus Adolphus Golden Gusties,Gustavus Adolphus,Golden Gusties,-1.0,-1.0
96297,2022,10,0,190,2362,,,1,1,190,Defiance Yellow Jackets,Defiance,Yellow Jackets,2362,Manchester Spartans,Manchester,Spartans,-1.0,-1.0
89929,2019,11,0,159,163,,,0,1,159,Dartmouth Big Green,Dartmouth,Big Green,163,Princeton Tigers,Princeton,Tigers,-1.0,-1.0
96269,2022,10,0,2364,2587,,,1,1,2364,Minnesota State Mavericks,Minnesota State,Mavericks,2587,Southwest Minnesota State Mustangs,Southwest Minnesota State,Mustangs,-1.0,-1.0
85203,2016,10,0,2582,2640,,,0,1,2582,Southern Jaguars,Southern,Jaguars,2640,Texas Southern Tigers,Texas Southern,Tigers,-1.0,-1.0
96564,2022,11,0,2056,2373,,,1,0,2056,Belhaven College Blazers,Belhaven College,Blazers,2373,Maryville TN Fighting Scots,Maryville TN,Fighting Scots,-1.0,-1.0
96505,2022,11,0,2022,2830,,,1,1,2022,AIC Yellow Jackets,AIC,Yellow Jackets,2830,St. Anselm Hawks,St. Anselm,Hawks,-1.0,-1.0
96190,2022,10,0,3162,417,,,1,1,3162,Alfred State College Pioneers,Alfred State College,Pioneers,417,Gallaudet Bison,Gallaudet,Bison,-1.0,-1.0
96555,2022,11,0,2155,65,,,1,1,2155,Cornell College (IA) Rams,Cornell College (IA),Rams,65,Grinnell Pioneers,Grinnell,Pioneers,-1.0,-1.0
96634,2022,11,0,2023,2362,,,1,1,2023,Anderson (IN) Ravens,Anderson (IN),Ravens,2362,Manchester Spartans,Manchester,Spartans,-1.0,-1.0
96570,2022,11,0,2845,2686,,,1,1,2845,Waynesburg Yellow Jackets,Waynesburg,Yellow Jackets,2686,Washington & Jefferson Presidents,Washington & Jefferson,Presidents,-1.0,-1.0
96215,2022,10,0,246,2667,,,1,1,246,Juniata Eagles,Juniata,Eagles,2667,Ursinus Bears,Ursinus,Bears,-1.0,-1.0
